mcns_id,rank,banc_match,similarity,label
10001,1,720575941503128626,0.0,tarsus-something
10001,2,720575941496126793,0.0,tarsus-something
10001,3,720575941519179480,0.0,tarsus-something
10001,4,720575941539565916,0.0,tarsus-something
10003,1,720575941503128626,0.0,tarsus-something
10003,2,720575941496126793,0.0,tarsus-something
10003,3,720575941519179480,0.0,tarsus-something
10003,4,720575941539565916,0.0,tarsus-something
10010,1,720575941503128626,0.0,tarsus-something
10010,2,720575941496126793,0.0,tarsus-something
10010,3,720575941519179480,0.0,tarsus-something
10010,4,720575941539565916,0.0,tarsus-something
10011,1,720575941496126793,0.6119318604469299,tarsus-something
10011,2,720575941503128626,0.0,tarsus-something
10011,3,720575941519179480,0.0,tarsus-something
10011,4,720575941539565916,0.0,tarsus-something
10030,1,720575941503128626,0.0,tarsus-something
10030,2,720575941496126793,0.0,tarsus-something
10030,3,720575941519179480,0.0,tarsus-something
10030,4,720575941539565916,0.0,tarsus-something
10032,1,720575941519179480,0.6790854334831238,tarsus-something
10032,2,720575941503128626,0.0,tarsus-something
10032,3,720575941496126793,0.0,tarsus-something
10032,4,720575941539565916,0.0,tarsus-something
10041,1,720575941503128626,0.0,tarsus-something
10041,2,720575941496126793,0.0,tarsus-something
10041,3,720575941519179480,0.0,tarsus-something
10041,4,720575941539565916,0.0,tarsus-something
10050,1,720575941496126793,0.4663982391357422,tarsus-something
10050,2,720575941503128626,0.0,tarsus-something
10050,3,720575941519179480,0.0,tarsus-something
10050,4,720575941539565916,0.0,tarsus-something
10063,1,720575941503128626,0.0,tarsus-something
10063,2,720575941496126793,0.0,tarsus-something
10063,3,720575941519179480,0.0,tarsus-something
10063,4,720575941539565916,0.0,tarsus-something
10069,1,720575941503128626,0.0,tarsus-something
10069,2,720575941496126793,0.0,tarsus-something
10069,3,720575941519179480,0.0,tarsus-something
10069,4,720575941539565916,0.0,tarsus-something
10071,1,720575941496126793,0.9859016537666321,tarsus-something
10071,2,720575941503128626,0.0,tarsus-something
10071,3,720575941519179480,0.0,tarsus-something
10071,4,720575941539565916,0.0,tarsus-something
10072,1,720575941496126793,0.5224425196647644,tarsus-something
10072,2,720575941503128626,0.0,tarsus-something
10072,3,720575941519179480,0.0,tarsus-something
10072,4,720575941539565916,0.0,tarsus-something
10078,1,720575941539565916,0.6349461674690247,tarsus-something
10078,2,720575941496126793,0.3731001913547516,tarsus-something
10078,3,720575941503128626,0.0,tarsus-something
10078,4,720575941519179480,0.0,tarsus-something
10088,1,720575941519179480,0.5397021770477295,tarsus-something
10088,2,720575941539565916,0.3891560435295105,tarsus-something
10088,3,720575941503128626,0.0,tarsus-something
10088,4,720575941496126793,0.0,tarsus-something
10090,1,720575941503128626,0.0,tarsus-something
10090,2,720575941496126793,0.0,tarsus-something
10090,3,720575941519179480,0.0,tarsus-something
10090,4,720575941539565916,0.0,tarsus-something
10091,1,720575941503128626,0.0,tarsus-something
10091,2,720575941496126793,0.0,tarsus-something
10091,3,720575941519179480,0.0,tarsus-something
10091,4,720575941539565916,0.0,tarsus-something
10103,1,720575941503128626,0.0,tarsus-something
10103,2,720575941496126793,0.0,tarsus-something
10103,3,720575941519179480,0.0,tarsus-something
10103,4,720575941539565916,0.0,tarsus-something
10104,1,720575941503128626,0.0,tarsus-something
10104,2,720575941496126793,0.0,tarsus-something
10104,3,720575941519179480,0.0,tarsus-something
10104,4,720575941539565916,0.0,tarsus-something
10106,1,720575941503128626,0.0,tarsus-something
10106,2,720575941496126793,0.0,tarsus-something
10106,3,720575941519179480,0.0,tarsus-something
10106,4,720575941539565916,0.0,tarsus-something
10107,1,720575941519179480,0.5591248273849487,tarsus-something
10107,2,720575941503128626,0.0,tarsus-something
10107,3,720575941496126793,0.0,tarsus-something
10107,4,720575941539565916,0.0,tarsus-something
