neuron_id,label
720575941561977088,tarsus-something
720575941571652616,tarsus-something
720575941561433746,tarsus-something
720575941611707923,tarsus-something
720575941611361811,tarsus-something
720575941552926747,tarsus-something
720575941435859232,tarsus-something
720575941478122659,tarsus-something
720575941479728291,tarsus-something
720575941560573608,tarsus-something
720575941409042603,tarsus-something
720575941503128626,tarsus-something
720575941624174844,tarsus-something
720575941481071802,tarsus-something
720575941720492346,tarsus-something
720575941722047290,tarsus-something
720575941480482755,tarsus-something
720575941482859718,tarsus-something
720575941496126793,tarsus-something
720575941485233616,tarsus-something
720575941577004881,tarsus-something
720575941425056084,tarsus-something
720575941519179480,tarsus-something
720575941539565916,tarsus-something
720575941436891103,tarsus-something
720575941609584742,tarsus-something
720575941610064102,tarsus-something
720575941623403116,tarsus-something
720575941574167803,tarsus-something
720575941621725948,tarsus-something
